Nombre de producto,"Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)","Zona, Zona Clave, medidas(anc x alt)"
CAMISA FORMAL MANGA LARGA MONTENEGRO HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA CORTA BIRMINGHAM HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA CORTA BIRMINGHAM MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA CORTA MONTANA HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA CORTA MONTANA MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA LARGA BIRMINGHAM HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA LARGA BIRMINGHAM MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA LARGA DERBY HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA LARGA DERBY MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA LARGA GINEBRA HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA FORMAL SLIM FIT MANGA LARGA GINEBRA MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA FORMAL SLIM FIT MANGA LARGA MONTANA HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA LARGA MONTANA MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA FORMAL SLIM FIT MANGA LARGA MÚNICH HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA FORMAL SLIM FIT MANGA LARGA MÚNICH MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, 7X2","Puño derecho, P-D, 7X2","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA SLIM FIT MANGA CORTA DERBY HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA SLIM FIT MANGA CORTA DERBY MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 12x12","Frente derecho, F-D, 12x12","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, 20x20"
CAMISA SLIM FIT MANGA CORTA MÚNICH MUJER,"Manga izquierda, M-I, 9x9","Manga derecha, M-D, 9x9","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
CAMISA FORMAL SLIM FIT MANGA CORTA MÚNICH HOMBRE,"Manga izquierda, M-I, 11x11","Manga derecha, M-D, 11x11","Frente izquierdo, F-I, 10x10","Frente derecho, F-D, 10x10","Frente centro, F-C, -","Puño izquierdo, P-I, -","Puño derecho, P-D, -","Cuello izquierdo, C-I, 5X2","Cuello derecho, C-D, 5X2","Cuello atras, C-A, 7X2","Espalda centro, E-C, -"
